E_mode,estep,scale_fact,peak [eV],fwhm [eV],de_e,Effic_ESA-CS max,Effic_ESA-CS Mean,p0,p0_err,CS_recoil_Ke,CS_eloss
HiRes,1,0.0347,16.326060843968794,10.782338935947188,0.6604372627908233,0.0003890457807482046,0.0003139402091898259,[3.89045837e-04 1.63285280e+01 4.57952884e+00],[6.12266243e-06 8.32195609e-02 8.32304205e-02],16.655176135994193,0.6682559954184147
HiRes,2,0.067,30.47259661656332,20.120277573434695,0.6602744697673174,0.000438614769703953,0.00035399726097604675,[4.38614770e-04 3.04730207e+01 8.54915086e+00],[7.61337476e-06 1.71348684e-01 1.71360937e-01],31.300082018000563,0.6639203173863835
HiRes,3,0.1287,55.763857726125224,37.96891455679137,0.6808875157681752,0.0005182599204833377,0.00041824047980878895,[5.18260005e-04 5.57730958e+01 1.61294226e+01],[1.05365676e-05 3.78643982e-01 3.78680803e-01],60.498049014283765,0.6677347115686434
HiRes,4,0.2533,106.25772139817965,69.31386305261051,0.6523183646379035,0.0006290974782621725,0.0005075798744179735,[6.29097720e-04 1.06283504e+02 2.94289070e+01],[1.10745684e-05 5.98207828e-01 5.98226749e-01],118.72030149982048,0.6674078100508591
HiRes,5,0.4884,200.0352631844769,130.09560284408883,0.6503633448074194,0.0007882378542838577,0.0006359733673243618,[7.88237930e-04 2.00011130e+02 5.52337354e+01],[1.86136138e-05 1.50609396e+00 1.50613394e+00],224.1054159177923,0.6573569121996509
HiRes,6,1.0,404.9550835592118,272.0349782916583,0.6717658064709339,0.0009626220515280557,0.0007766934385283565,[9.62622378e-04 4.04859947e+02 1.15504197e+02],[2.19015238e-05 3.03448358e+00 3.03464171e+00],450.15145782663086,0.644814296380759
HiRes,7,1.9378,787.2928165465293,565.1132687877175,0.7177929950721443,0.0011426381906586727,0.0009219862238718789,[1.14263827e-03 7.87201212e+02 2.39974360e+02],[2.86385838e-05 6.94483444e+00 6.94618144e+00],864.2138441586653,0.6362719403880163
HiTh,1,0.0347,17.192253320924188,17.730907491618325,1.0313312141601914,0.0005895706305656469,0.0004757100046933041,[5.89570693e-04 1.71957216e+01 7.52898623e+00],[8.11260625e-06 1.19590384e-01 1.22666939e-01],16.626271354158618,0.6705149490800776
HiTh,2,0.067,32.36463914932986,32.36356337367473,0.9999667607709091,0.0007005170314416665,0.0005652270622830665,[7.00517158e-04 3.23729128e+01 1.37421978e+01],[9.48197039e-06 2.14594201e-01 2.18245616e-01],31.432092883283907,0.664276321556322
HiTh,3,0.1287,59.4844826979796,57.183812182596526,0.9613231819285668,0.0008625077306845273,0.0006959084607046425,[8.62507733e-04 5.94864154e+01 2.42791882e+01],[1.34358197e-05 4.36315151e-01 4.41120932e-01],60.44569630686019,0.6662237377201667
HiTh,4,0.2533,114.41467924652933,107.0299968544109,0.9354568623471237,0.0010668867191876903,0.0008608872213498765,[1.06688675e-03 1.14404657e+02 4.54534004e+01],[1.59153795e-05 7.82313926e-01 7.88580576e-01],118.11570421240765,0.6656604776891581
HiTh,5,0.4884,213.69638861776355,211.86473802192444,0.9914287246139879,0.0012452407966697305,0.0010047916678504274,[1.24524106e-03 2.13754873e+02 8.99716991e+01],[1.89783557e-05 1.58185626e+00 1.60224168e+00],224.5656486351394,0.6568533870697314
HiTh,6,1.0,437.3622866787558,440.444317169274,1.0070468592843762,0.001611715586177566,0.001300753764894026,[1.61171559e-03 4.37360126e+02 1.87134726e+02],[2.67425936e-05 3.58200695e+00 3.63369696e+00],454.28783978759907,0.6472593079748279
HiTh,7,1.9378,838.8792885671531,850.6123286737344,1.0139865654886078,0.0020507220524902904,0.0016544508874948639,[2.05072206e-03 8.38851936e+02 3.61064426e+02],[3.92081575e-05 7.96369152e+00 8.08305340e+00],864.2322756821774,0.6358275143379446
