E_mode,estep,scale_fact,peak [eV],fwhm [eV],de_e,Effic_ESA-CS max,Effic_ESA-CS Mean,p0,p0_err,CS_eloss
HiRes,1,0.0347,19.192096656731938,20.560680974473698,1.0713097866387469,0.000101388141869524,7.854896583315488e-05,[2.33682783e-03 4.35718181e-01 3.14433977e+00],[9.89917516e-05 1.72087448e-02 2.26461447e-02],0.5456464438472032
HiRes,2,0.067,36.753141721612266,35.68010660497963,0.9708042614489838,0.0001787403078907411,0.00013945174154359185,[0.00708144 0.3973185  3.76230749],[0.0002669  0.01435541 0.01831059],0.5331945143682273
HiRes,3,0.1287,71.20944269055506,71.68071473502434,1.0066181116810198,0.00029014812247580787,0.00022584742661159723,[0.02317395 0.4111746  4.43472341],[0.0009584  0.01609461 0.02083546],0.5363300081009004
HiRes,4,0.2533,141.41338871677598,147.07766374681626,1.040054729480988,0.0004543591591901131,0.0003527709609350853,[0.07467691 0.42375507 5.13148341],[0.00344788 0.01836809 0.02399327],0.5277662240746305
HiRes,5,0.4884,273.99565656808034,297.0124140969318,1.0840040963318427,0.000668875457450355,0.0005176200691734789,[0.22283057 0.44032831 5.80680964],[0.00928949 0.01713908 0.02250074],0.5256883958719833
HiRes,6,1.0,585.0293037016872,702.2864069630415,1.2004294528828336,0.0011364384498461935,0.0008711847871748139,[0.90550887 0.48351008 6.60523335],[0.03851489 0.01844697 0.02534967],0.5161951476096271
HiRes,7,1.9378,1135.0641988436644,1344.398390671033,1.184424979697735,0.001782745542674384,0.0013681772418470167,[2.71377238 0.47737851 7.26239252],[0.13292328 0.02091848 0.02885354],0.516665262448395
HiTh,1,0.0347,20.433035521297814,33.68192794968705,1.6484054909305872,0.00017693341038941326,0.00012955015229463215,[0.00708839 0.63798117 3.42445785],[0.00019892 0.01356994 0.02228351],0.5340699899962087
HiTh,2,0.067,39.71591803429885,61.497914186219404,1.5484449870480022,0.0003012699334159486,0.00022308805622065585,[0.02179638 0.60513381 4.04795327],[0.00052802 0.01153368 0.01824901],0.5340216313489294
HiTh,3,0.1287,76.48435235122513,113.24780588277144,1.4806663376415117,0.0005138742385862928,0.000383275694143815,[0.06792887 0.58210501 4.67582685],[0.00195245 0.01349505 0.02081633],0.534286815916032
HiTh,4,0.2533,153.52660878333168,240.6359659723666,1.567389313678974,0.0008725177016748852,0.0006447383342203139,[0.24749292 0.61144643 5.40767708],[0.00580131 0.01118865 0.01785659],0.5224224270298915
HiTh,5,0.4884,298.46437146697406,471.7558364793617,1.5806102221201395,0.001412680535102225,0.0010423579948235866,[0.78669072 0.61584467 6.07780049],[0.02337545 0.01420873 0.02280553],0.5062182414310749
HiTh,6,1.0,615.2370338471662,1018.789555207551,1.6559301523786896,0.002329394223574549,0.0017041879719429367,[2.82551282 0.64048518 6.83253819],[0.07017751 0.01199105 0.01982356],0.49896072749075643
HiTh,7,1.9378,1242.8200167911016,1967.914857157176,1.583427069543209,0.0036989594598889693,0.0027281263655931803,[8.59302422 0.61660314 7.50534532],[0.25331923 0.01406093 0.02269158],0.49482035619452946
